Close,High,Low,Open,Volume
^KLSE,^KLSE,^KLSE,^KLSE,^KLSE
918.3800048828125,920.1300048828125,915.0599975585938,918.3400268554688,95030600
911.8499755859375,916.0800170898438,908.9600219726562,916.02001953125,62224600
913.5599975585938,914.719970703125,908.3800048828125,908.8599853515625,73092000
909.6699829101562,913.0800170898438,907.02001953125,913.0800170898438,91163400
909.1799926757812,911.6599731445312,906.5399780273438,907.0900268554688,87447600
909.739990234375,912.4099731445312,907.1199951171875,908.8400268554688,68363600
911.6400146484375,915.0599975585938,909.47998046875,910.0700073242188,60466000
919.0700073242188,920.1500244140625,911.9000244140625,911.9400024414062,62289200
916.7999877929688,921.1599731445312,915.6900024414062,919.2899780273438,66529800
917.9199829101562,918.989990234375,914.1599731445312,916.4400024414062,57082800
919.0700073242188,919.5,916.0499877929688,917.0999755859375,53744400
915.719970703125,920.8499755859375,915.22998046875,917.739990234375,66434600
914.739990234375,919.280029296875,913.6900024414062,916.1599731445312,67204800
919.6500244140625,919.969970703125,913.989990234375,914.280029296875,65024200
921.989990234375,921.989990234375,917.6599731445312,919.0900268554688,74004200
923.27001953125,923.4400024414062,919.030029296875,920.8499755859375,61385600
922.030029296875,923.8400268554688,920.6599731445312,921.8800048828125,89230000
922.5700073242188,922.7999877929688,919.239990234375,921.239990234375,107370000
923.0499877929688,923.9500122070312,920.5399780273438,922.6099853515625,79897600
921.8900146484375,923.1799926757812,920.7000122070312,921.4000244140625,80146400
925.1300048828125,926.8800048828125,921.760009765625,921.760009765625,93230400
927.7100219726562,927.9500122070312,924.8599853515625,925.3300170898438,70167200
924.5,929.52001953125,924.2000122070312,928.719970703125,93133000
924.22998046875,927.5700073242188,922.719970703125,925.489990234375,84218400
927.5399780273438,928.5599975585938,923.3499755859375,925.030029296875,93338000
925.3300170898438,928.1099853515625,922.7999877929688,926.8400268554688,52884600
924.760009765625,928.2100219726562,923.8300170898438,924.97998046875,67235600
927.510009765625,928.77001953125,924.9400024414062,924.9400024414062,74188000
926.25,929.27001953125,924.010009765625,927.1799926757812,83706800
